rssi,Time
-90,2022-09-05 15:24:55.147
-93,2022-09-05 15:24:56.681
-88,2022-09-05 15:24:55.114
-82,2022-09-05 15:24:57.508
-94,2022-09-05 15:24:56.906
-93,2022-09-05 15:24:56.681
-96,2022-09-05 15:24:56.026
-82,2022-09-05 15:24:57.508
-95,2022-09-05 15:25:01.157
-80,2022-09-05 15:25:00.949
-94,2022-09-05 15:24:57.274
-82,2022-09-05 15:24:57.508
-95,2022-09-05 15:25:01.157
-80,2022-09-05 15:25:00.949
-93,2022-09-05 15:24:58.154
-79,2022-09-05 15:25:00.066
-95,2022-09-05 15:25:01.157
-80,2022-09-05 15:25:00.949
-95,2022-09-05 15:24:59.017
-79,2022-09-05 15:25:00.066
-95,2022-09-05 15:25:01.157
-80,2022-09-05 15:25:00.949
-90,2022-09-05 15:25:00.066
-79,2022-09-05 15:25:00.066
-95,2022-09-05 15:25:01.157
-92,2022-09-05 15:25:04.359
-93,2022-09-05 15:25:01.008
-86,2022-09-05 15:25:01.006
-89,2022-09-05 15:25:02.621
-92,2022-09-05 15:25:04.359
-91,2022-09-05 15:25:02.021
-92,2022-09-05 15:25:02.195
-94,2022-09-05 15:25:03.304
-92,2022-09-05 15:25:04.359
-96,2022-09-05 15:25:03.675
-93,2022-09-05 15:25:03.345
-89,2022-09-05 15:25:04.223
-92,2022-09-05 15:25:04.359
-91,2022-09-05 15:25:04.757
-84,2022-09-05 15:25:04.074
-89,2022-09-05 15:25:06.032
-95,2022-09-05 15:25:05.012
-94,2022-09-05 15:25:05.184
-88,2022-09-05 15:25:05.184
-89,2022-09-05 15:25:06.032
-92,2022-09-05 15:25:06.031
-96,2022-09-05 15:25:07.127
-87,2022-09-05 15:25:06.032
-95,2022-09-05 15:25:07.120
-93,2022-09-05 15:25:10.275
-96,2022-09-05 15:25:07.127
-85,2022-09-05 15:25:07.114
-94,2022-09-05 15:25:09.197
-93,2022-09-05 15:25:10.275
-96,2022-09-05 15:25:08.059
-89,2022-09-05 15:25:09.495
-94,2022-09-05 15:25:09.197
-93,2022-09-05 15:25:10.275
-94,2022-09-05 15:25:09.487
-89,2022-09-05 15:25:09.495
-82,2022-09-05 15:25:10.476
-93,2022-09-05 15:25:10.275
-94,2022-09-05 15:25:10.275
-87,2022-09-05 15:25:10.074
-88,2022-09-05 15:25:11.031
-88,2022-09-05 15:25:11.039
-93,2022-09-05 15:25:12.468
-82,2022-09-05 15:25:11.152
-89,2022-09-05 15:25:12.874
-93,2022-09-05 15:25:12.662
-93,2022-09-05 15:25:12.468
-91,2022-09-05 15:25:12.057
-96,2022-09-05 15:25:14.314
-88,2022-09-05 15:25:17.019
-93,2022-09-05 15:25:13.064
-86,2022-09-05 15:25:13.322
-96,2022-09-05 15:25:14.314
-88,2022-09-05 15:25:17.019
-96,2022-09-05 15:25:14.661
-87,2022-09-05 15:25:14.314
-89,2022-09-05 15:25:15.195
-88,2022-09-05 15:25:17.019
-89,2022-09-05 15:25:15.881
-94,2022-09-05 15:25:16.323
-88,2022-09-05 15:25:17.019
-91,2022-09-05 15:25:17.007
-90,2022-09-05 15:25:17.019
-88,2022-09-05 15:25:17.019
-91,2022-09-05 15:25:17.007
-94,2022-09-05 15:25:19.287
-92,2022-09-05 15:25:18.156
-80,2022-09-05 15:25:22.286
-94,2022-09-05 15:25:19.287
-87,2022-09-05 15:25:19.036
-80,2022-09-05 15:25:22.286
-96,2022-09-05 15:25:20.318
-93,2022-09-05 15:25:20.146
-80,2022-09-05 15:25:22.286
-91,2022-09-05 15:25:25.037
-85,2022-09-05 15:25:22.370
-88,2022-09-05 15:25:21.209
-80,2022-09-05 15:25:22.286
-91,2022-09-05 15:25:25.037
-85,2022-09-05 15:25:22.370
-97,2022-09-05 15:25:22.286
-80,2022-09-05 15:25:22.286
-91,2022-09-05 15:25:25.037
-89,2022-09-05 15:25:23.999
-94,2022-09-05 15:25:23.570
-90,2022-09-05 15:25:23.084
-91,2022-09-05 15:25:25.037
-89,2022-09-05 15:25:24.592
-105,2022-09-05 15:25:26.143
-94,2022-09-05 15:25:24.163
-91,2022-09-05 15:25:25.037
-90,2022-09-05 15:25:25.667
-105,2022-09-05 15:25:26.143
-92,2022-09-05 15:25:25.109
-94,2022-09-05 15:25:28.004
-93,2022-09-05 15:25:26.316
-105,2022-09-05 15:25:26.143
-82,2022-09-05 15:25:26.127
-94,2022-09-05 15:25:28.004
-90,2022-09-05 15:25:27.006
-94,2022-09-05 15:25:28.457
-85,2022-09-05 15:25:27.008
-94,2022-09-05 15:25:28.004
-93,2022-09-05 15:25:28.057
-94,2022-09-05 15:25:28.457
-91,2022-09-05 15:25:28.017
-93,2022-09-05 15:25:29.960
-97,2022-09-05 15:25:31.257
-89,2022-09-05 15:25:32.919
-85,2022-09-05 15:25:29.076
-93,2022-09-05 15:25:30.026
-97,2022-09-05 15:25:31.257
-89,2022-09-05 15:25:32.919
-91,2022-09-05 15:25:30.560
-85,2022-09-05 15:25:31.027
-97,2022-09-05 15:25:31.257
-89,2022-09-05 15:25:32.919
-91,2022-09-05 15:25:31.668
-84,2022-09-05 15:25:32.766
-88,2022-09-05 15:25:32.330
-89,2022-09-05 15:25:32.919
-91,2022-09-05 15:25:32.237
-85,2022-09-05 15:25:33.316
-93,2022-09-05 15:25:37.837
-92,2022-09-05 15:25:33.389
-88,2022-09-05 15:25:33.118
-83,2022-09-05 15:25:34.026
-93,2022-09-05 15:25:37.837
-96,2022-09-05 15:25:34.067
-83,2022-09-05 15:25:35.088
-93,2022-09-05 15:25:37.837
-83,2022-09-05 15:25:35.277
-89,2022-09-05 15:25:36.086
-93,2022-09-05 15:25:37.837
-80,2022-09-05 15:25:36.080
-93,2022-09-05 15:25:37.183
-93,2022-09-05 15:25:37.837
-91,2022-09-05 15:25:41.525
-93,2022-09-05 15:25:37.358
-88,2022-09-05 15:25:38.672
-83,2022-09-05 15:25:38.528
-91,2022-09-05 15:25:41.525
-96,2022-09-05 15:25:38.263
-88,2022-09-05 15:25:39.150
-93,2022-09-05 15:25:40.062
-91,2022-09-05 15:25:41.525
-85,2022-09-05 15:25:40.424
-93,2022-09-05 15:25:42.278
-93,2022-09-05 15:25:40.062
-91,2022-09-05 15:25:41.525
-85,2022-09-05 15:25:40.424
-93,2022-09-05 15:25:42.278
-84,2022-09-05 15:25:41.225
-91,2022-09-05 15:25:41.525
-87,2022-09-05 15:25:42.480
-93,2022-09-05 15:25:42.278
-88,2022-09-05 15:25:42.278
-91,2022-09-05 15:25:43.017
-87,2022-09-05 15:25:42.480
-92,2022-09-05 15:25:45.040
-87,2022-09-05 15:25:43.021
-91,2022-09-05 15:25:43.017
-89,2022-09-05 15:25:43.016
-92,2022-09-05 15:25:45.040
-79,2022-09-05 15:25:44.056
-91,2022-09-05 15:25:44.267
-86,2022-09-05 15:25:44.075
-92,2022-09-05 15:25:45.040
-94,2022-09-05 15:25:46.181
-92,2022-09-05 15:25:47.197
-87,2022-09-05 15:25:45.348
-84,2022-09-05 15:25:47.943
-94,2022-09-05 15:25:46.181
-92,2022-09-05 15:25:47.197
-86,2022-09-05 15:25:46.119
-84,2022-09-05 15:25:47.943
-89,2022-09-05 15:25:47.001
-92,2022-09-05 15:25:47.197
-83,2022-09-05 15:25:47.247
-81,2022-09-05 15:25:48.091
-89,2022-09-05 15:25:48.905
-93,2022-09-05 15:25:48.123
-89,2022-09-05 15:25:48.308
-88,2022-09-05 15:25:49.253
-87,2022-09-05 15:25:51.725
-89,2022-09-05 15:25:49.187
-93,2022-09-05 15:25:50.447
-81,2022-09-05 15:25:50.162
-87,2022-09-05 15:25:51.725
-94,2022-09-05 15:25:50.017
-93,2022-09-05 15:25:50.447
-89,2022-09-05 15:25:51.041
-87,2022-09-05 15:25:51.725
-93,2022-09-05 15:25:51.726
-88,2022-09-05 15:25:51.271
-94,2022-09-05 15:25:52.723
