name,locationStatus,timestamp,rssiOne,rssiTwo
FF:FF:C0:21:F1:31,INSIDE,1551367495147,-90,-90
FF:FF:C0:21:EF:BA,INSIDE,1551367496681,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367495114,-88,-88
FF:FF:C0:21:EF:BF,INSIDE,1551367497508,-82,-82
FF:FF:C0:21:F1:31,INSIDE,1551367496906,-94,-94
FF:FF:C0:21:EF:BA,INSIDE,1551367496681,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367496026,-96,-96
FF:FF:C0:21:EF:BF,INSIDE,1551367497508,-82,-82
FF:FF:C0:21:F1:31,INSIDE,1551367501157,-95,-95
FF:FF:C0:21:EF:BA,INSIDE,1551367500949,-80,-80
FF:FF:C0:21:EF:1A,INSIDE,1551367497274,-94,-94
FF:FF:C0:21:EF:BF,INSIDE,1551367497508,-82,-82
FF:FF:C0:21:F1:31,INSIDE,1551367501157,-95,-95
FF:FF:C0:21:EF:BA,INSIDE,1551367500949,-80,-80
FF:FF:C0:21:EF:1A,INSIDE,1551367498154,-93,-93
FF:FF:C0:21:EF:BF,INSIDE,1551367500066,-79,-79
FF:FF:C0:21:F1:31,INSIDE,1551367501157,-95,-95
FF:FF:C0:21:EF:BA,INSIDE,1551367500949,-80,-80
FF:FF:C0:21:EF:1A,INSIDE,1551367499017,-95,-95
FF:FF:C0:21:EF:BF,INSIDE,1551367500066,-79,-79
FF:FF:C0:21:F1:31,INSIDE,1551367501157,-95,-95
FF:FF:C0:21:EF:BA,INSIDE,1551367500949,-80,-80
FF:FF:C0:21:EF:1A,INSIDE,1551367500066,-90,-90
FF:FF:C0:21:EF:BF,INSIDE,1551367500066,-79,-79
FF:FF:C0:21:F1:31,INSIDE,1551367501157,-95,-95
FF:FF:C0:21:EF:BA,INSIDE,1551367504359,-92,-92
FF:FF:C0:21:EF:1A,INSIDE,1551367501008,-93,-93
FF:FF:C0:21:EF:BF,INSIDE,1551367501006,-86,-86
FF:FF:C0:21:F1:31,INSIDE,1551367502621,-89,-89
FF:FF:C0:21:EF:BA,INSIDE,1551367504359,-92,-92
FF:FF:C0:21:EF:1A,INSIDE,1551367502021,-91,-91
FF:FF:C0:21:EF:BF,INSIDE,1551367502195,-92,-92
FF:FF:C0:21:F1:31,INSIDE,1551367503304,-94,-94
FF:FF:C0:21:EF:BA,INSIDE,1551367504359,-92,-92
FF:FF:C0:21:EF:1A,INSIDE,1551367503675,-96,-96
FF:FF:C0:21:EF:BF,INSIDE,1551367503345,-93,-93
FF:FF:C0:21:F1:31,INSIDE,1551367504223,-89,-89
FF:FF:C0:21:EF:BA,INSIDE,1551367504359,-92,-92
FF:FF:C0:21:EF:1A,INSIDE,1551367504757,-91,-91
FF:FF:C0:21:EF:BF,INSIDE,1551367504074,-84,-84
FF:FF:C0:21:F1:31,INSIDE,1551367506032,-89,-89
FF:FF:C0:21:EF:BA,INSIDE,1551367505012,-95,-95
FF:FF:C0:21:EF:1A,INSIDE,1551367505184,-94,-94
FF:FF:C0:21:EF:BF,INSIDE,1551367505184,-88,-88
FF:FF:C0:21:F1:31,INSIDE,1551367506032,-89,-89
FF:FF:C0:21:EF:BA,INSIDE,1551367506031,-92,-92
FF:FF:C0:21:EF:1A,INSIDE,1551367507127,-96,-96
FF:FF:C0:21:EF:BF,INSIDE,1551367506032,-87,-87
FF:FF:C0:21:F1:31,INSIDE,1551367507120,-95,-95
FF:FF:C0:21:EF:BA,INSIDE,1551367510275,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367507127,-96,-96
FF:FF:C0:21:EF:BF,INSIDE,1551367507114,-85,-85
FF:FF:C0:21:F1:31,INSIDE,1551367509197,-94,-94
FF:FF:C0:21:EF:BA,INSIDE,1551367510275,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367508059,-96,-96
FF:FF:C0:21:EF:BF,INSIDE,1551367509495,-89,-89
FF:FF:C0:21:F1:31,INSIDE,1551367509197,-94,-94
FF:FF:C0:21:EF:BA,INSIDE,1551367510275,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367509487,-94,-94
FF:FF:C0:21:EF:BF,INSIDE,1551367509495,-89,-89
